service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11300:100-39-127,1,1,1,1,1,1,1,20260821,20270814
11300:101-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:102-39-127,1,1,1,1,1,1,1,20260821,20270814
11300:103-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:10-39-127,1,1,1,1,1,1,1,20260902,20270630
11300:104-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:105-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:106-39-127,1,1,1,1,1,1,1,20260821,20270814
11300:107-39-127,1,1,1,1,1,1,1,20260822,20270814
11300:108-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:109-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:110-39-127,1,1,1,1,1,1,1,20260902,20270703
11300:111-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:112-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:113-39-16,0,0,0,0,1,0,0,20260821,20270813
11300:11-39-127,1,1,1,1,1,1,1,20260907,20270628
11300:114-39-4,0,0,1,0,0,0,0,20260826,20270811
11300:115-39-127,1,1,1,1,1,1,1,20260826,20270811
11300:117-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:118-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:119-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:120-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:121-39-127,1,1,1,1,1,1,1,20260902,20270630
11300:122-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:123-39-127,1,1,1,1,1,1,1,20260902,20270630
11300:12-39-127,1,1,1,1,1,1,1,20260905,20270703
11300:124-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:126-39-127,1,1,1,1,1,1,1,20260821,20260831
11300:127-39-127,1,1,1,1,1,1,1,20260822,20260829
11300:133-39-127,1,1,1,1,1,1,1,20260821,20260831
11300:13-39-127,1,1,1,1,1,1,1,20260901,20270703
11300:136-39-16,0,0,0,0,1,0,0,20260821,20260911
11300:137-39-127,1,1,1,1,1,1,1,20260821,20270814
11300:138-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:139-39-127,1,1,1,1,1,1,1,20260902,20270630
11300:140-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:141-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:142-39-127,1,1,1,1,1,1,1,20260826,20270811
11300:143-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:14-39-127,1,1,1,1,1,1,1,20260904,20270702
11300:144-39-127,1,1,1,1,1,1,1,20260822,20270814
11300:145-39-127,1,1,1,1,1,1,1,20260821,20270814
11300:146-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:147-39-127,1,1,1,1,1,1,1,20260901,20270703
11300:148-39-127,1,1,1,1,1,1,1,20260901,20270702
11300:149-39-127,1,1,1,1,1,1,1,20260903,20270701
11300:150-39-127,1,1,1,1,1,1,1,20260821,20270813
11300:151-39-4,0,0,1,0,0,0,0,20260826,20270811
11300:152-39-16,0,0,0,0,1,0,0,20260821,20270813
11300:153-39-2,0,1,0,0,0,0,0,20260825,20270810
11300:15-39-127,1,1,1,1,1,1,1,20260901,20270701
11300:154-39-127,1,1,1,1,1,1,1,20260822,20270814
11300:155-39-127,1,1,1,1,1,1,1,20260901,20270703
11300:156-39-127,1,1,1,1,1,1,1,20260901,20270629
11300:157-39-127,1,1,1,1,1,1,1,20260901,20270702
