route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1006272,619,57R001,ST-AVOLD / FAULQUEMONT / METZ,,204,,191998,FFFFFF
1006273,619,57R002,ST-AVOLD / FOULIGNY / METZ,,204,,191998,FFFFFF
1006274,619,57R003,BOULAY-MOSELLE / FOULIGNY / ST-AVOLD,,204,,191998,FFFFFF
1006275,619,57R004,CREUTZWALD / METZ,,204,,191998,FFFFFF
1006276,619,57R005,BOUZONVILLE / METZ,,204,,191998,FFFFFF
1006277,619,57R007,CREUTZWALD / ST-AVOLD,,204,,191998,FFFFFF
1006279,619,57R021,BOULAY-MOSELLE / ST-AVOLD,,204,,191998,FFFFFF
1006280,619,57R023,CHARLEVILLE-SS-BOIS / BOULAY-MOSELLE,,204,,191998,FFFFFF
1006281,619,57R024,ST-AVOLD / SARREGUEMINES,,204,,191998,FFFFFF
1006282,619,57R027,CHATEAU-SALINS / METZ,,204,,191998,FFFFFF
1006283,619,57R046,AUDUN-LE-TICHE / METZ,,204,,191998,FFFFFF
1006284,619,57R048,MOYEUVRE-GRANDE / METZ,,204,,191998,FFFFFF
1006285,619,57R049,THIONVILLE / METZ,,204,,191998,FFFFFF
1006286,619,57R050,FLORANGE / METZ,,204,,191998,FFFFFF
1006287,619,57R051,MOYEUVRE-PETITE / MOYEUVRE-GRANDE,,204,,191998,FFFFFF
1006288,619,57R052,ESCH-SUR-ALZETTE / THIONVILLE,,204,,191998,FFFFFF
1006290,619,57R066,VILLERS-STONCOURT / METZ,,204,,191998,FFFFFF
1006291,619,57R068,RONCOURT / METZ,,204,,191998,FFFFFF
1006292,619,57R070,LUTTANGE / THIONVILLE,,204,,191998,FFFFFF
1006293,619,57R071,STE-MARIE-AUX-CHENES / MONDELANGE,,204,,191998,FFFFFF
1006294,619,57R074,GUENANGE / METZ,,204,,191998,FFFFFF
1006295,619,57R075,HAGONDANGE / METZ,,204,,191998,FFFFFF
1006296,619,57R077,ROMBAS / METZ,,204,,191998,FFFFFF
1006297,619,57R078,REZONVILLE-VIONVILLE / METZ,,204,,191998,FFFFFF
1006301,619,57R112,WALDWISSE / SIERCK / THIONVILLE,,204,,191998,FFFFFF
1006302,619,57R121,MORHANGE / SARREGUEMINES,,204,,191998,FFFFFF
1006303,619,57R123,HELLIMER / FREYMING-MERLEBACH,,204,,191998,FFFFFF
1006304,619,57R124,LEYVILLER / FORBACH,,204,,191998,FFFFFF
1006305,619,57R129,FORBACH / SARREGUEMINES,,204,,191998,FFFFFF
1006306,619,57R1291,FORBACH / SARREGUEMINES,,204,,191998,FFFFFF
1006307,619,57R138,FORBACH / ST-AVOLD,,204,,191998,FFFFFF
1006308,619,57R201,HAYANGE / METZ,,204,,191998,FFFFFF
1006309,619,57R500,SAARBRÜCKEN / ST-AVOLD,,204,,191998,FFFFFF
1006664,619,57R006,LUTTANGE / METZ,,204,,191998,FFFFFF
