stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
266,266,Gare de Igney-Avricourt,,48.6465544,6.8056005,,,1,,,
1026395,4779606,AVRICOURT - Place de la Gare,,48.6464079,6.805895,,,0,266,,
392,392,Bitche DDE,,49.1177632,7.098225,,,1,,,
1035780,4781834,SARREGUEMINES - Bitche Dde,,49.1177782,7.09809,,,0,392,,
403,403,SARREGUEMINES - Utzschneider,,49.1116739,7.0673247,,,1,,,
1034788,4781416,SARREGUEMINES - Utzschneider,,49.1115982,7.06727,,,0,403,,
423,423,Route De Sarreguemines,,49.0238032,7.0372565,,,1,,,
1034562,4781326,WILLERWALD - Route De Sarreguemines,,49.0237682,7.03727,,,0,423,,
424,424,WILLERWALD - Centre,,49.0274682,7.03555,,,1,,,
1034564,4781327,WILLERWALD - Centre,,49.0274282,7.03559,,,0,424,,
425,425,WILLERWALD - Route Nationale,,49.0316182,7.03352,,,1,,,
1034566,4781328,WILLERWALD - Route Nationale,,49.0316182,7.03352,,,0,425,,
426,426,HAMBACH - Sud,,49.0534232,7.032915,,,1,,,
1032202,4780311,HAMBACH - Sud,,49.0533782,7.03291,,,0,426,,
427,427,HAMBACH - Place De Gaulle,,49.0574882,7.03362,,,1,,,
1032196,4780308,HAMBACH - Place De Gaulle,,49.0574882,7.03362,,,0,427,,
429,429,HAMBACH - Rue Nationale,,49.0644882,7.04068,,,1,,,
1032200,4780310,HAMBACH - Rue Nationale,,49.0644882,7.04068,,,0,429,,
430,430,HAMBACH - St Hubert,,49.0670591194,7.0411599069,,,1,,,
1035232,4781610,HAMBACH - St Hubert,,49.0670582,7.04116,,,0,430,,
431,431,Croisement,,49.0766492,7.040617,,,1,,,
1035554,4781748,NEUFGRANGE - Roth / Croisement,,49.0766782,7.04062,,,0,431,,
432,432,NEUFGRANGE - St Vit,,49.0783284783,7.0531203776,,,1,,,
1033298,4780767,NEUFGRANGE - St Vit,,49.0783282,7.05312,,,0,432,,
433,433,NEUFGRANGE - St Michel,,49.076778586500005,7.0603396657,,,1,,,
1035234,4781611,NEUFGRANGE - St Michel,,49.0767782,7.06034,,,0,433,,
434,434,NEUFGRANGE - Ecole Maternelle,,49.0769585939,7.0658604705,,,1,,,
1033294,4780765,NEUFGRANGE - Ecole Maternelle,,49.0769582,7.06586,,,0,434,,
435,435,NEUFGRANGE - Vieux Breuil,,49.0774072893,7.073170289699999,,,1,,,
1033300,4780768,NEUFGRANGE - Vieux Breuil,,49.0774082,7.07317,,,0,435,,
436,436,NEUFGRANGE - Carrefour,,49.0777880371,7.0808200382,,,1,,,
1033296,4780766,NEUFGRANGE - Carrefour,,49.0777882,7.08082,,,0,436,,
440,440,Poincaré,,49.1047682,7.07284,,,1,,,
1035110,4781555,SARREGUEMINES - Poincare,,49.1047982,7.07283,,,0,440,,
447,447,LOUPERSHOUSE - Mairie,,49.0782357,6.9152075,,,1,,,
1032840,4780568,LOUPERSHOUSE - Mairie,,49.0781982,6.9152,,,0,447,,
449,449,Centre,,49.0807825,6.9143654,,,1,,,
1032832,4780567,LOUPERSHOUSE - Centre,,49.0807857,6.91433,,,0,449,,
450,450,LOUPERSHOUSE - Gare,,49.0833082628,6.9107398796,,,1,,,
1035224,4781607,LOUPERSHOUSE - Gare,,49.0833082,6.91074,,,0,450,,
454,454,ERNESTVILLER - Heckenransbach / Carrefour,,49.0613799,6.9830233,,,1,,,
1031672,4780077,ERNESTVILLER - Heckenransbach / Carrefour,,49.0614782,6.98284,,,0,454,,
474,474,SARREGUEMINES - Sibille,,49.1093292,7.0675877,,,1,,,
1035380,4781677,SARREGUEMINES - Sibille,,49.1092182,7.0674,,,0,474,,
478,478,Papillons,,49.1072132,7.052995,,,1,,,
1036332,4782019,SARREGUEMINES - Papillon,,49.1072082,7.05299,,,0,478,,
494,494,Neunkirch Centre,,49.1200469,7.0889668,,,1,,,
1034046,4781089,SARREGUEMINES - Neunkirch / Eglise,,49.1199142,7.0888505,,,0,494,,
523,523,KALHAUSEN - Station Ferner,,49.02839772196666,7.155613504533334,,,1,,,
1032582,4780462,KALHAUSEN - Station Ferner,,49.0283982,7.15564,,,0,523,,
525,525,KALHAUSEN - Rue De La Gare,,49.02572510833334,7.1510068074666675,,,1,,,
1035112,4781556,KALHAUSEN - Rue De La Gare,,49.0254982,7.15108,,,0,525,,
531,531,Dieding Centre,,49.0625315,7.1207933,,,1,,,
1034630,4781351,ZETTING - Dieding,,49.0625982,7.12078,,,0,531,,
533,533,Pont,,49.0864342,7.1100368,,,1,,,
1034060,4781094,SARREINSMING - Pont,,49.0863982,7.11031,,,0,533,,
534,534,Centre,,49.0916879,7.092579,,,1,,,
1033610,4780907,REMELFING - Centre,,49.0916982,7.09261,,,0,534,,
567,567,Voie Romaine Rotenberg,,49.09548830240001,7.167039953300001,,,1,,,
1035378,4781676,WOELFLING-LES-SARREGUEMINES - Voie Romaine Rotenberg,,49.0954882,7.16704,,,0,567,,
568,568,Rotenberg,,49.0919282037,7.1632400048,,,1,,,
1035096,4781548,WIESVILLER - Rotenberg,,49.0919282,7.16324,,,0,568,,
