from_stop_id,to_stop_id,transfer_type,min_transfer_time
1023093,1023083,0,
1030648,1030642,0,
1030680,1030678,0,
1030688,1030684,0,
1030714,1030712,0,
1030718,1030716,0,
1030720,1030716,0,
1030720,1030718,0,
1030744,1030730,0,
1030750,1030748,0,
1030752,1030748,0,
1030768,1030760,0,
1030770,1030768,0,
1030772,1030762,0,
1030794,1030792,0,
1030804,1030802,0,
1030820,1030818,0,
1030850,1030848,0,
1030896,1030894,0,
1030902,1030900,0,
1030906,1030904,0,
1030908,1030906,0,
1030920,1030918,0,
1030952,1030946,0,
1030970,1030964,0,
1030974,1030972,0,
1030990,1030988,0,
1031016,1031006,0,
1031044,1031042,0,
1031058,1031048,0,
1031058,1031050,0,
1031088,1031086,0,
1031116,1031114,0,
1031134,1031130,0,
1031140,1031138,0,
1031174,1031170,0,
1031198,1031194,0,
1031212,1031210,0,
1031214,1031208,0,
1031236,1031232,0,
1031270,1031258,0,
1031272,1031268,0,
1031274,1031272,0,
1031304,1031300,0,
1031316,1031310,0,
1031322,1031312,0,
1031322,1031316,0,
1031364,1031358,0,
1031368,1031354,0,
1031370,1031362,0,
1031372,1031370,0,
1031394,1031390,0,
1031412,1031408,0,
1031428,1031422,0,
1031436,1031432,0,
1031440,1031436,0,
1031446,1031444,0,
1031452,1031442,0,
1031456,1031448,0,
1031458,1031450,0,
1031464,1031452,0,
1031480,1031472,0,
1031488,1031472,0,
1031494,1031486,0,
1031504,1031482,0,
1031534,1031518,0,
1031540,1031538,0,
1031572,1031570,0,
1031588,1031584,0,
1031616,1031614,0,
1031622,1031614,0,
1031622,1031616,0,
1031626,1031624,0,
1031630,1031628,0,
1031640,1031638,0,
1031648,1031644,0,
1031656,1031652,0,
1031664,1031662,0,
1031718,1031716,0,
1031726,1031724,0,
1031730,1031726,0,
1031732,1031722,0,
1031732,1031724,0,
1031754,1031752,0,
1031760,1031752,0,
1031762,1031748,0,
1031768,1031766,0,
1031776,1031774,0,
1031790,1031786,0,
1031802,1031798,0,
1031804,1031800,0,
1031806,1031796,0,
1031808,1031796,0,
1031808,1031806,0,
1031814,1031810,0,
1031818,1031816,0,
1031826,1031822,0,
1031842,1031840,0,
1031868,1031852,0,
1031876,1031874,0,
1031878,1031874,0,
1031878,1031876,0,
1031886,1031884,0,
1031898,1031892,0,
1031906,1031904,0,
1031926,1031914,0,
1031936,1031930,0,
1031944,1031930,0,
1031950,1031928,0,
1031954,1031930,0,
1031954,1031936,0,
1031958,1031956,0,
1031960,1031956,0,
1031960,1031958,0,
1031962,1031956,0,
1031962,1031958,0,
1031962,1031960,0,
1031966,1031956,0,
1031966,1031962,0,
1031980,1031976,0,
1031994,1031992,0,
1032012,1032010,0,
1032048,1032042,0,
1032090,1032074,0,
1032112,1032110,0,
1032130,1032128,0,
1032140,1032134,0,
1032148,1032146,0,
1032178,1032176,0,
1032206,1032204,0,
1032216,1032214,0,
1032250,1032248,0,
1032264,1032262,0,
1032266,1032262,0,
1032266,1032264,0,
1032272,1032270,0,
1032288,1032284,0,
1032308,1032304,0,
1032310,1032304,0,
1032310,1032308,0,
1032322,1032320,0,
1032328,1032326,0,
1032334,1032332,0,
1032338,1032336,0,
1032342,1032336,0,
1032342,1032338,0,
1032350,1032348,0,
1032358,1032354,0,
1032384,1032382,0,
1032406,1032402,0,
1032408,1032406,0,
1032438,1032436,0,
1032448,1032416,0,
1032472,1032470,0,
1032506,1032500,0,
1032510,1032508,0,
1032514,1032512,0,
1032520,1032518,0,
1032536,1032534,0,
1032542,1032540,0,
1032550,1032548,0,
1032572,1032566,0,
1032590,1032586,0,
1032632,1032628,0,
1032640,1032634,0,
1032662,1032660,0,
1032672,1032670,0,
1032684,1032680,0,
1032690,1032686,0,
1032748,1032746,0,
1032760,1032758,0,
1032764,1032762,0,
1032770,1032768,0,
1032830,1032828,0,
1032840,1032832,0,
1032856,1032852,0,
1032858,1032852,0,
1032858,1032856,0,
1032872,1032868,0,
1032904,1032902,0,
1032930,1032924,0,
1032942,1032940,0,
1032948,1032946,0,
1032964,1032960,0,
1032972,1032964,0,
1032976,1030622,0,
1032978,1030622,0,
1033000,1032998,0,
1033030,1033028,0,
1033080,1033058,0,
1033088,1033066,0,
1033112,1033108,0,
1033118,1033116,0,
1033140,1033138,0,
1033146,1033144,0,
1033150,1033144,0,
1033150,1033146,0,
1033166,1033162,0,
1033172,1033170,0,
1033176,1033172,0,
1033186,1033184,0,
1033190,1033186,0,
1033196,1033184,0,
1033200,1033184,0,
1033200,1033196,0,
1033216,1033210,0,
1033216,1033212,0,
1033260,1033254,0,
1033268,1033264,0,
1033280,1033278,0,
1033310,1033308,0,
1033322,1032630,0,
1033336,1033334,0,
1033340,1033338,0,
1033346,1033342,0,
1033366,1033360,0,
1033414,1033412,0,
1033422,1033420,0,
1033426,1033416,0,
1033428,1033416,0,
1033450,1033448,0,
1033478,1033476,0,
1033490,1033486,0,
1033494,1033492,0,
1033502,1033496,0,
1033502,1033500,0,
1033510,1033508,0,
1033520,1033518,0,
1033536,1033530,0,
1033540,1033530,0,
1033540,1033536,0,
1033546,1033544,0,
1033578,1033574,0,
1033592,1033590,0,
1033618,1033616,0,
1033638,1033634,0,
1033670,1033668,0,
1033686,1033684,0,
1033698,1033692,0,
1033744,1033738,0,
1033766,1033764,0,
1033770,1033762,0,
1033804,1033802,0,
1033806,1033800,0,
1033822,1033820,0,
1033828,1033818,0,
1033838,1033822,0,
1033852,1033820,0,
1033868,1033864,0,
1033884,1033880,0,
1033894,1033892,0,
1033912,1033910,0,
1033924,1033922,0,
1033932,1033920,0,
1033944,1033942,0,
1033948,1033942,0,
1033948,1033944,0,
1033950,1033942,0,
1033950,1033946,0,
1033958,1033956,0,
1033964,1033958,0,
1033972,1033968,0,
1033992,1033982,0,
1034000,1033998,0,
1034056,1034030,0,
1034070,1034068,0,
1034072,1034068,0,
1034090,1034088,0,
1034098,1034094,0,
1034124,1034120,0,
1034136,1034132,0,
1034154,1034152,0,
1034162,1034156,0,
1034200,1034198,0,
1034212,1034210,0,
1034220,1034218,0,
1034222,1034220,0,
1034230,1034224,0,
1034262,1030620,0,
1034262,1034244,0,
1034270,1034268,0,
1034282,1034278,0,
1034288,1034286,0,
1034294,1034292,0,
1034314,1034312,0,
1034350,1034344,0,
1034356,1034354,0,
1034366,1034364,0,
1034394,1034392,0,
1034402,1034400,0,
1034410,1034406,0,
1034414,1034412,0,
1034422,1034416,0,
1034440,1034438,0,
1034446,1034442,0,
1034448,1034438,0,
1034448,1034440,0,
1034448,1034442,0,
1034448,1034446,0,
1034450,1034438,0,
1034450,1034440,0,
1034472,1034470,0,
1034494,1034488,0,
1034500,1034498,0,
1034510,1034508,0,
1034522,1034520,0,
1034548,1034544,0,
1034550,1034548,0,
1034558,1034556,0,
1034584,1033068,0,
1034638,1034636,0,
1034650,1034646,0,
1034654,1034652,0,
