route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1006272,11300:8-39-127,1017835-1023175,"Faulquemont",ST AVOLD / METZ,0,13,11300$1017835$1,,
1006272,11300:17-39-16,1024926-1032564,"Tritteling-Redlach",ST AVOLD / METZ,0,8,11300$1024926$10,,
1006281,11300:8-39-127,1030760-1043536,"Sarreguemines",ST AVOLD / SARREGUEM,0,229,11300$1030760$100,,
1006683,11300:138-39-127,1036674-1053769,"Dieuze",MORHANGE/DIEUZE,0,2488,11300$1036674$993,,
1006683,11300:138-39-127,1036675-1053770,"Dieuze",MORHANGE / DIEUZE,0,2489,11300$1036675$994,,
1006683,11300:146-39-127,1036676-1053771,"Dieuze",MORHANGE / DIEUZE,0,2490,11300$1036676$994,,
1006684,11300:223-39-127,1041482-1060783,"Dieuze",DIFFEMBACH / BENESTR,0,2495,11300$1041482$996,,
1006685,11300:7-39-127,1028431-1039040,"Dieuze",KAPPELKINGER / DIEUZ,0,2498,11300$1028431$997,,
1006686,11300:7-39-127,1017671-1023012,"Bouzonville",WALDWEISTROFF / BOUZ,0,2501,11300$1017671$998,,
1006686,11300:22-39-2,1017672-1023013,"Bouzonville",WALDWEISTROFF / BOUZ,0,2502,11300$1017672$999,,
1006687,11300:8-39-127,1031167-1044058,"Metz",BECHY / METZ,0,2506,11300$1031167$1000,,
1006687,11300:8-39-127,1031168-1044059,"Metz",BECHY / METZ,0,2507,11300$1031168$1001,,
1006687,11300:16-39-127,1031170-1044061,"Metz",BECHY / METZ,0,2510,11300$1031170$1002,,
1006281,11300:70-39-127,1032390-1047390,"Saint-Avold",FARSCHVILLER / ST AV,0,204,11300$1032390$101,,
1006687,11300:48-39-127,1031171-1044062,"Metz",BECHY / METZ,0,2511,11300$1031171$1001,,
1006687,11300:20-39-127,1031172-1044063,"Metz",BECHY / METZ,0,2512,11300$1031172$1004,,
1006687,11300:51-39-127,1031173-1044064,"Metz",BECHY / METZ,0,2513,11300$1031173$1001,,
1006687,11300:19-39-127,1031174-1044065,"Metz",BECHY / METZ,0,2514,11300$1031174$1004,,
1006687,11300:255-39-127,1042423-1062210,"Metz",BECHY / METZ,0,2508,,,
1006687,11300:255-39-127,1042424-1062211,"Metz",BECHY / METZ,0,2509,,,
1006688,11300:254-39-127,1042433-1062220,"Metz",LOUVIGNY / METZ,0,2528,11300$1042433$1009,,
1006688,11300:255-39-127,1042434-1062221,"Metz",LOUVIGNY / METZ,0,2529,11300$1042434$1010,,
1006688,11300:256-39-127,1042435-1062222,"Metz",LOUVIGNY / METZ,0,2530,11300$1042435$1011,,
1006689,11300:8-39-127,1017691-1023032,"Thionville",FLEVY / THIONVILLE,0,2541,,,
1006281,11300:70-39-127,1032391-1047391,"Saint-Avold",FAREBERSVILLER / ST,0,206,11300$1032391$102,,
1006689,11300:7-39-127,1031933-1045751,"Thionville",FLEVY / THIONVILLE,0,2537,,,
1006689,11300:7-39-127,1031935-1045752,"Thionville",FLEVY / THIONVILLE,0,2538,,,
1006689,11300:7-39-127,1031936-1045753,"Thionville",FLEVY / THIONVILLE,0,2539,11300$1031936$1015,,
1006689,11300:18-39-127,1031960-1045788,"Thionville",FLEVY / THIONVILLE,0,2545,11300$1031960$1016,,
1006689,11300:26-39-127,1031961-1045789,"Thionville",FLEVY / THIONVILLE,0,2540,11300$1031961$1016,,
1006689,11300:7-39-127,1031963-1045791,"Thionville",FLEVY / THIONVILLE,0,2544,11300$1031963$1018,,
1006689,11300:273-39-127,1042525-1062329,"Thionville",FLEVY / THIONVILLE,0,2542,11300$1042525$1019,,
1006690,11300:254-39-127,1042442-1062229,"Metz",CORNY SUR MOSELLE /,0,2563,,,
1006690,11300:255-39-127,1042443-1062230,"Metz",CORNY SUR MOSELLE /,0,2564,,,
1006690,11300:255-39-127,1042444-1062231,"Metz",CORNY SUR MOSELLE /,0,2565,,,
1006281,11300:70-39-127,1032392-1047392,"Saint-Avold",FAREBERSVILLER / ST,0,207,11300$1032392$103,,
