operator_code,depot_code,ligne
transavold,fluo57,57R004
transavold,fluo57,57R007
transavold,fluo57,57R021
transavold,fluo57,57R023
transavold,fluo57,57R024
transavold,fluo57,57R039
transavold,fluo57,57R129
transavold,fluo57,57R1291
transavold,fluo57,57R138
transavold,fluo57,57SAV34
transavold,fluo57,57SDZ04
transavold,fluo57,57SDZ11
transavold,fluo57,57ECR00
transavold,fluo57,57EDD00
transavold,fluo57,57ELB01
transavold,fluo57,57ERA00
transavold,fluo57,57ETE00
transavold,fluo57,57EVA01
transavold,fluo57,57EZB00
transavold,fluo57,57SFQ01
transavold,fluo57,57SFQ03
transavold,fluo57,57SFQ04
transavold,fluo57,57SFQ06
transavold,fluo57,57SMF07
transavold,fluo57,57SMH01
transavold,fluo57,57SMH03
transavold,fluo57,57EHV00
transavold,fluo57,57ELL00
transavold,casc,57EKV00
transavold,casc,57ERI00
