client,type,code_controleur,ligne_gtfs,dans_feed_fluo
casas,transavold,L1,,non
casas,transavold,L2,,non
casas,transavold,L3,,non
casas,transavold,L4,,non
casas,transavold,L5,,non
casas,transavold,L6,,non
casas,transavold,L8,,non
casas,transavold,L9,,non
casas,transavold,L10,,non
casas,transavold,Express,,non
casas,transavold,TransZac,,non
casas,transavold,TAD,,non
casas,transchool,T1,,non
casas,transchool,T2,,non
casas,transchool,T3,,non
casas,transchool,T4,,non
casas,transchool,T5,,non
casas,transchool,T6,,non
casas,transchool,T8,,non
casas,transchool,T9,,non
casas,transchool,T10,,non
casas,transchool,T11,,non
casas,transchool,T12,,non
casas,transchool,T13,,non
casas,transchool,T14,,non
casas,transchool,T15,,non
casas,transchool,T16,,non
casas,transchool,T17,,non
casas,transchool,T18,,non
casas,transchool,T19,,non
casas,transchool,T20,,non
casas,transchool,T21,,non
casas,transchool,T22,,non
casas,transchool,T23,,non
casas,transchool,T24,,non
casas,transchool,T25,,non
casas,transchool,T26,,non
rgeFluo57,Lr,04,57R004,oui
rgeFluo57,Lr,07,57R007,oui
rgeFluo57,Lr,21,57R021,oui
rgeFluo57,Lr,23,57R023,oui
rgeFluo57,Lr,24,57R024,oui
rgeFluo57,Lr,39,57R039,oui
rgeFluo57,Lr,129,57R129,oui
rgeFluo57,Lr,129,57R1291,oui
rgeFluo57,Lr,138,57R138,oui
rgeFluo57,Lr,MS,,non
rgeFluo57,Sa,SA4,57R004,oui
rgeFluo57,Sa,SA7,57R007,oui
rgeFluo57,Sa,SA24,57R024,oui
rgeFluo57,Sa,SA129,57R129,oui
rgeFluo57,Sa,SA138,57R138,oui
rgeFluo57,Sc,AV34,57SAV34,oui
rgeFluo57,Sc,DZ04,57SDZ04,oui
rgeFluo57,Sc,DZ11,57SDZ11,oui
rgeFluo57,Sc,ECR00,57ECR00,oui
rgeFluo57,Sc,EDD00,57EDD00,oui
rgeFluo57,Sc,ELB01,57ELB01,oui
rgeFluo57,Sc,ERA00,57ERA00,oui
rgeFluo57,Sc,ETE00,57ETE00,oui
rgeFluo57,Sc,EVA01,57EVA01,oui
rgeFluo57,Sc,EZB00,57EZB00,oui
rgeFluo57,Sc,FQ01,57SFQ01,oui
rgeFluo57,Sc,FQ03,57SFQ03,oui
rgeFluo57,Sc,FQ04,57SFQ04,oui
rgeFluo57,Sc,FQ06,57SFQ06,oui
rgeFluo57,Sc,MF07,57SMF07,oui
rgeFluo57,Sc,MH01,57SMH01,oui
rgeFluo57,Sc,MH03,57SMH03,oui
rgeFluo57,Sc,EHV00,57EHV00,oui
rgeFluo57,Sc,ELL00,57ELL00,oui
casc,Lr,11,,non
casc,Lr,125,,non
casc,Sa,SA125,,non
casc,Sc,SR02,,non
casc,Sc,SR03,,non
casc,Sc,ESR01,,non
casc,Sc,EDP00,,non
casc,Sc,EGB00,,non
casc,Sc,EHR00,,non
casc,Sc,EKV00,57EKV00,oui
casc,Sc,ERI00,57ERI00,oui
casc,Sc,EVD00,,non
casc,Sc,EZT00,,non
casc,Sc,PT01,,non
casc,Sc,PT02,,non
casc,Sc,PT04,,non
casc,Sc,PT06,,non
casc,Sc,PT07,,non
forbus,Doublage,L2,,non
forbus,Doublage,L2 bis,,non
forbus,Doublage,L5,,non
forbus,Doublage,L9,,non
forbus,CSCAF,CSCAF1,,non
forbus,CSCAF,CSCAF2,,non
forbus,CSCAF,CSCAF3,,non
forbus,CSCAF,CSCAF4,,non
forbus,CSCAF,CSCAF5,,non
forbus,CSCAF,CSCAF6,,non
forbus,CSCAF,CSCAF7,,non
hombourgHaut,Sc,HH1,,non
hombourgHaut,Sc,HH2,,non
hombourgHaut,Sc,HH3,,non
